Tue Jun 17 08:49:10 UTC 2025 Starting regionserver on 4fdf0e11b739
core file size          (blocks, -c) 0
data seg size           (kbytes, -d) unlimited
scheduling priority             (-e) 0
file size               (blocks, -f) unlimited
pending signals                 (-i) 55819
max locked memory       (kbytes, -l) unlimited
max memory size         (kbytes, -m) unlimited
open files                      (-n) 1024
pipe size            (512 bytes, -p) 8
POSIX message queues     (bytes, -q) 819200
real-time priority              (-r) 0
stack size              (kbytes, -s) 8192
cpu time               (seconds, -t) unlimited
max user processes              (-u) unlimited
virtual memory          (kbytes, -v) unlimited
file locks                      (-x) unlimited
2025-06-17T08:49:14,372 INFO  [main] regionserver.HRegionServer: STARTING executorService HRegionServer
2025-06-17T08:49:14,379 INFO  [main] util.VersionInfo: HBase 2.5.0
2025-06-17T08:49:14,380 INFO  [main] util.VersionInfo: Source code repository git://07dd39516198/home/ndimiduk/hbase-rm/output/hbase revision=2ecd8bd6d615ca49bfb329b3c0c126c80846d4ab
2025-06-17T08:49:14,381 INFO  [main] util.VersionInfo: Compiled by ndimiduk on Tue Aug 23 15:58:57 UTC 2022
2025-06-17T08:49:14,383 INFO  [main] util.VersionInfo: From source with checksum 1b8804cc0906de24e1a5e80737681f53ccf396f7af467da39ad611ab78fffc5be1a83fe8902e324a6a0d149f031e65c19112e0ba2c565b6b16892e5a7ab16778
2025-06-17T08:49:14,621 INFO  [main] util.ServerCommandLine: hbase.tmp.dir: /tmp/hbase-hbase
2025-06-17T08:49:14,622 INFO  [main] util.ServerCommandLine: hbase.rootdir: hdfs://atlas-hadoop:9000/hbase
2025-06-17T08:49:14,623 INFO  [main] util.ServerCommandLine: hbase.cluster.distributed: true
2025-06-17T08:49:14,624 INFO  [main] util.ServerCommandLine: hbase.zookeeper.quorum: atlas-zk
2025-06-17T08:49:14,625 INFO  [main] util.ServerCommandLine: env:PATH=/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin
2025-06-17T08:49:14,626 INFO  [main] util.ServerCommandLine: env:HBASE_LOGFILE=hbase-hbase-regionserver-4fdf0e11b739.log
2025-06-17T08:49:14,626 INFO  [main] util.ServerCommandLine: env:JAVA_HOME=/usr/lib/jvm/java-11-openjdk-amd64
2025-06-17T08:49:14,628 INFO  [main] util.ServerCommandLine: env:TERM=xterm
2025-06-17T08:49:14,630 INFO  [main] util.ServerCommandLine: env:MAIL=/var/mail/hbase
2025-06-17T08:49:14,630 INFO  [main] util.ServerCommandLine: env:ATLAS_HOME=/opt/atlas
2025-06-17T08:49:14,630 INFO  [main] util.ServerCommandLine: env:JVM_PID=383
2025-06-17T08:49:14,630 INFO  [main] util.ServerCommandLine: env:LOGNAME=hbase
2025-06-17T08:49:14,630 INFO  [main] util.ServerCommandLine: env:HBASE_REST_OPTS=
2025-06-17T08:49:14,631 INFO  [main] util.ServerCommandLine: env:HBASE_VERSION="2.5.0"
2025-06-17T08:49:14,631 INFO  [main] util.ServerCommandLine: env:PWD=/
2025-06-17T08:49:14,631 INFO  [main] util.ServerCommandLine: env:ATLAS_DIST=/home/atlas/dist
2025-06-17T08:49:14,631 INFO  [main] util.ServerCommandLine: env:HBASE_ROOT_LOGGER=INFO,RFA
2025-06-17T08:49:14,631 INFO  [main] util.ServerCommandLine: env:SHELL=/bin/bash
2025-06-17T08:49:14,631 INFO  [main] util.ServerCommandLine: env:HBASE_ENV_INIT=true
2025-06-17T08:49:14,632 INFO  [main] util.ServerCommandLine: env:HBASE_IDENT_STRING=hbase
2025-06-17T08:49:14,632 INFO  [main] util.ServerCommandLine: env:HBASE_ZNODE_FILE=/tmp/hbase-hbase-regionserver.znode
2025-06-17T08:49:14,634 INFO  [main] util.ServerCommandLine: env:HBASE_LOG_PREFIX=hbase-hbase-regionserver-4fdf0e11b739
2025-06-17T08:49:14,636 INFO  [main] util.ServerCommandLine: env:HBASE_LOG_DIR=/opt/hbase/logs
2025-06-17T08:49:14,636 INFO  [main] util.ServerCommandLine: env:USER=hbase
2025-06-17T08:49:14,638 INFO  [main] util.ServerCommandLine: stence.core-2.7.4.jar:/opt/hbase/lib/jdk11/org.eclipse.persistence.moxy-2.7.4.jar:/opt/hbase/lib/jdk11/org.eclipse.persistence.sdo-2.7.4.jar:/opt/hbase/lib/jdk11/pfl-asm-4.0.1.jar:/opt/hbase/lib/jdk11/pfl-basic-4.0.1.jar:/opt/hbase/lib/jdk11/pfl-basic-tools-4.0.1.jar:/opt/hbase/lib/jdk11/pfl-dynamic-4.0.1.jar:/opt/hbase/lib/jdk11/pfl-tf-4.0.1.jar:/opt/hbase/lib/jdk11/pfl-tf-tools-4.0.1.jar:/opt/hbase/lib/jdk11/policy-2.7.6.jar:/opt/hbase/lib/jdk11/release-documentation-2.3.2-docbook.zip:/opt/hbase/lib/jdk11/saaj-impl-1.5.1.jar:/opt/hbase/lib/jdk11/samples-2.3.2.zip:/opt/hbase/lib/jdk11/sdo-eclipselink-plugin-2.3.2.jar:/opt/hbase/lib/jdk11/stax-ex-1.8.1.jar:/opt/hbase/lib/jdk11/streambuffer-1.5.7.jar:/opt/hbase/lib/jdk11/txw2-2.3.2.jar:/opt/hbase/lib/client-facing-thirdparty/log4j-1.2-api-2.17.2.jar:/opt/hbase/lib/client-facing-thirdparty/log4j-api-2.17.2.jar:/opt/hbase/lib/client-facing-thirdparty/log4j-core-2.17.2.jar:/opt/hbase/lib/client-facing-thirdparty/log4j-slf4j-impl-2.17.2.jar
2025-06-17T08:49:14,638 INFO  [main] util.ServerCommandLine: env:ATLAS_SCRIPTS=/home/atlas/scripts
2025-06-17T08:49:14,639 INFO  [main] util.ServerCommandLine: env:HBASE_AUTOSTART_FILE=/tmp/hbase-hbase-regionserver.autostart
2025-06-17T08:49:14,639 INFO  [main] util.ServerCommandLine: env:SED=sed
2025-06-17T08:49:14,639 INFO  [main] util.ServerCommandLine: env:HOSTNAME=4fdf0e11b739
2025-06-17T08:49:14,639 INFO  [main] util.ServerCommandLine: env:GREP=grep
2025-06-17T08:49:14,640 INFO  [main] util.ServerCommandLine: env:HBASE_NICENESS=0
2025-06-17T08:49:14,640 INFO  [main] util.ServerCommandLine: env:HBASE_SECURITY_LOGGER=INFO,RFAS
2025-06-17T08:49:14,640 INFO  [main] util.ServerCommandLine: env:HBASE_OPTS=-XX:+UseG1GC -Djava.util.logging.config.class=org.apache.hadoop.hbase.logging.JulToSlf4jInitializer   -Dio.netty.tryReflectionSetAccessible=true --illegal-access=permit --add-modules jdk.unsupported --add-opens java.base/java.nio=ALL-UNNAMED --add-opens java.base/sun.nio.ch=ALL-UNNAMED --add-opens java.base/java.lang=ALL-UNNAMED --add-opens java.base/jdk.internal.ref=ALL-UNNAMED --add-opens java.base/java.lang.reflect=ALL-UNNAMED --add-exports java.base/jdk.internal.misc=ALL-UNNAMED -Dhbase.log.dir=/opt/hbase/logs -Dhbase.log.file=hbase-hbase-regionserver-4fdf0e11b739.log -Dhbase.home.dir=/opt/hbase -Dhbase.id.str=hbase -Dhbase.root.logger=INFO,RFA -Dhbase.security.logger=INFO,RFAS
2025-06-17T08:49:14,640 INFO  [main] util.ServerCommandLine: env:HBASE_HOME=/opt/hbase
2025-06-17T08:49:14,640 INFO  [main] util.ServerCommandLine: env:HBASE_THRIFT_OPTS=
2025-06-17T08:49:14,641 INFO  [main] util.ServerCommandLine: env:ATLAS_VERSION="2.4.0"
2025-06-17T08:49:14,641 INFO  [main] util.ServerCommandLine: env:SHLVL=2
2025-06-17T08:49:14,641 INFO  [main] util.ServerCommandLine: env:HOME=/home/hbase
2025-06-17T08:49:14,641 INFO  [main] util.ServerCommandLine: env:MALLOC_ARENA_MAX=4
2025-06-17T08:49:14,641 INFO  [main] util.ServerCommandLine: vmName=OpenJDK 64-Bit Server VM, vmVendor=Ubuntu, vmVersion=11.0.27+6-post-Ubuntu-0ubuntu120.04
2025-06-17T08:49:14,642 INFO  [main] util.ServerCommandLine: vmInputArguments=[-Dproc_regionserver, -XX:OnOutOfMemoryError=kill -9 %p, -XX:+UseG1GC, -Djava.util.logging.config.class=org.apache.hadoop.hbase.logging.JulToSlf4jInitializer, -Dio.netty.tryReflectionSetAccessible=true, --illegal-access=permit, --add-modules=jdk.unsupported, --add-opens=java.base/java.nio=ALL-UNNAMED, --add-opens=java.base/sun.nio.ch=ALL-UNNAMED, --add-opens=java.base/java.lang=ALL-UNNAMED, --add-opens=java.base/jdk.internal.ref=ALL-UNNAMED, --add-opens=java.base/java.lang.reflect=ALL-UNNAMED, --add-exports=java.base/jdk.internal.misc=ALL-UNNAMED, -Dhbase.log.dir=/opt/hbase/logs, -Dhbase.log.file=hbase-hbase-regionserver-4fdf0e11b739.log, -Dhbase.home.dir=/opt/hbase, -Dhbase.id.str=hbase, -Dhbase.root.logger=INFO,RFA, -Dhbase.security.logger=INFO,RFAS]
2025-06-17T08:49:15,273 INFO  [main] metrics.MetricRegistries: Loaded MetricRegistries class org.apache.hadoop.hbase.metrics.impl.MetricRegistriesImpl
2025-06-17T08:49:15,320 WARN  [main] util.NativeCodeLoader: Unable to load native-hadoop library for your platform... using builtin-java classes where applicable
2025-06-17T08:49:15,640 INFO  [main] regionserver.RSRpcServices: regionserver/4fdf0e11b739:16020 server-side Connection retries=45
2025-06-17T08:49:15,667 INFO  [main] ipc.RpcExecutor: Instantiated default.FPBQ.Fifo with queueClass=class java.util.concurrent.LinkedBlockingQueue; numCallQueues=3, maxQueueLength=300, handlerCount=30
2025-06-17T08:49:15,669 INFO  [main] ipc.RpcExecutor: Instantiated priority.RWQ.Fifo with queueClass=class java.util.concurrent.LinkedBlockingQueue; numCallQueues=2, maxQueueLength=200, handlerCount=20
2025-06-17T08:49:15,670 INFO  [main] ipc.RWQueueRpcExecutor: priority.RWQ.Fifo writeQueues=1 writeHandlers=2 readQueues=1 readHandlers=18 scanQueues=0 scanHandlers=0
2025-06-17T08:49:15,670 INFO  [main] ipc.RpcExecutor: Instantiated replication.FPBQ.Fifo with queueClass=class java.util.concurrent.LinkedBlockingQueue; numCallQueues=1, maxQueueLength=30, handlerCount=3
2025-06-17T08:49:15,670 INFO  [main] ipc.RpcExecutor: Instantiated metaPriority.FPBQ.Fifo with queueClass=class java.util.concurrent.LinkedBlockingQueue; numCallQueues=1, maxQueueLength=200, handlerCount=1
2025-06-17T08:49:15,785 INFO  [main] ipc.RpcServerFactory: Creating org.apache.hadoop.hbase.ipc.NettyRpcServer hosting hbase.pb.ClientService, hbase.pb.AdminService, hbase.pb.ClientMetaService
2025-06-17T08:49:15,886 INFO  [main] ipc.NettyRpcServer: Using org.apache.hbase.thirdparty.io.netty.buffer.PooledByteBufAllocator for buffer allocation
2025-06-17T08:49:16,116 INFO  [main] ipc.NettyRpcServer: Bind to /172.21.0.9:16020
2025-06-17T08:49:16,214 INFO  [main] Configuration.deprecation: hbase.client.pause.cqtbe is deprecated. Instead, use hbase.client.pause.server.overloaded
2025-06-17T08:49:16,394 INFO  [main] hfile.BlockCacheFactory: Allocating BlockCache size=1.36 GB, blockSize=64 KB
2025-06-17T08:49:17,151 INFO  [main] fs.HFileSystem: Added intercepting call to namenode#getBlockLocations so can do block reordering using class org.apache.hadoop.hbase.fs.HFileSystem$ReorderWALBlocks
